 , , , , , , , , , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , ,g, , , , , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 ,b,b,b,b,b,b, , , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
b, , , , , ,b,b, , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , , ,b, , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , , ,b, , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , ,b,b, , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , , ,b, , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , ,b,b, , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , ,b, , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , ,b, , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , ,b, , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , ,b, , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , ,b, , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , , ,b, , , , , , ,b, , , , , ,b,b,b,b,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,b,b,b, , , , , , , , , , , , , , , ,
 , , , , ,b, , , , , , ,b, , , ,b,b,b, , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , ,b,b,b, ,b,b,b, , , , , , , , , , , , , ,
 , , , , ,b, , , , , , ,b,b, ,b,b, , , , , ,b,b, , , , , , , , , , , , , , , , , , , , , , , , , ,b,b, , , , , ,b,b, , , , , , , , , , , , ,
 , , , , ,b,b, , , , , , ,b,b,b, , , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , ,b,b, , , , , , , , ,b,b, , , , , , , , , , ,
 , , , , , ,b, , , , , , , , , , , , , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , ,b, , , , , , , , , , ,b, , , , , , , , , , ,
 , , , , , ,b,b, , , , , , , , , , , , , , , , ,b,b,b, , , , , , , , , , , , , , , , , , , , ,b,b, , , , , , , , , , , ,b, , , , , , , , , ,
 , , , , , , ,b, , , , , , , , , , , , , , , , , , , ,b,b,b,b,b,b, , , , , , , , , , , , , , ,b, , , , , , , , , , , , ,b,b, , , , , , , , ,
 , , , , , , ,b,b, , , , , , , , , , , , , , , , , , , , , , , ,b,b,b, , ,b,b, , , , , , , ,b,b, , , , , , , , , , , , , ,b,b, , , , , , , ,
 , , , , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , ,b,b,b,b,b,b, ,b,b,b,b,b, , , , ,b,b,b,b, , , , , , , ,b, , , , , , , ,
 , , , , , , , , ,b, , , , , , , , ,b,b,b,b, , , , , , , , , , , , , , , , , , ,b,b, , , , , , , , ,b,b, , ,b,b, , , , , , ,b, , , , , , , ,
 , , , , , , , , ,b,b,b, , , , , ,b,b, , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,b, , , , , ,b, , , , , , ,b, , , , , , ,
 , , , , , , , , , , ,b, , , ,b,b,b, , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , ,b,b, , , , , , ,b, , , , , ,b, , , , , , ,
 , , , , , , , , , , ,b, , , ,b, , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , ,b, , , , , , , ,b, , , , , ,b,b, , , , , ,
 , , , , , , , , , , ,b, , , ,b, , , , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , ,b, , , , , , , ,b, , , , , , ,b,b, , , , ,
 , , , , , , , , , ,b,b, , , ,b,b, , , , ,b, , , , , , , , , ,b,b, , , , , , , , , , , , , , , , ,b, , , , , , , ,b, , , , , , , ,b,b,b,b,b,
 , , , , , , , , , ,b, , , , , ,b, , , , , ,b, , , , , , , ,b, ,b, , , , , , , , , , , , , , , ,b,b, , , , , , , ,b, , , , , , , , , , , , ,
 , , , , , , , , , ,b, , , , , , ,b, , , , ,b,b, , , , ,b,b, , , ,b, , , , , , , , , , , , , , ,b, , , , , , , , ,b, , , , , , , , , , , , ,
 , , , , , , , , , ,b, , , , , , ,b, , , , , ,b,b, , ,b,b, , , , ,b,b, , , , , , , , , , , , ,b,b, , , , , , , , ,b,b, , , , , , , , , , , ,
 , , , , , , , , , ,b, , , , , ,b,b, , , , , , ,b,b,b,b, , , , , , ,b, , , , , , , , , , , ,b,b, , , , , , , , , , ,b, , , , , , , , , , , ,
 , , , , , , , , , ,b, , , , , ,b, , , , , , , , , , , , , , , , , , ,b, , , , , , , , , ,b,b, , , , , , , , , , , ,b, , , , , , , , , , , ,
 , , , , , , , , , ,b, , , , ,b,b, , , , , , , , , , , , , , , , , , ,b, , , , , , , , ,b,b, , , , , , , , , , , , ,b, , , , , , , , , , , ,
 , , , , , , , , , ,b, , , ,b,b, , , , , , , , , , , , , , , , , , , , ,b,b, , , , ,b,b,b, , , , , , , , , , , , , ,b, , , , , , , , , , , ,
 , , , , , , , , , ,b, , , ,b, , , , , , , , , , , , , , , , , , , , , , ,b,b,b,b,b,b, , , , , , , , , , , , , , , ,b,b, , , , , , , , , , ,
 , , , , , , , , , ,b, , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,b,b,b,b,b, , , , , , , ,b, , , , , , , , , ,b,
 , , , , , , , , , ,b, , , ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,b,b, , , ,b,b, , , , , , ,b,b, , , , , , ,b,b,b,
 , , ,b,b,b,b,b,b,b,b, , ,b,b, , , , , , , , , , , , , , , , ,b,b,b,b,b, , , , , , , , ,b,b, , , , , , ,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,
 , ,b,b, , , , , , , , , ,b, , , , , , , , , , , , , , , , ,b,b, , , , ,b,b,b,b,b,b,b,b,b, , , , , , , , , , , , , , ,b,b,b,b,b,b,b,b, , ,b,
 , ,b, , , , , , , , , , ,b, , , , , , , , , , , , , , ,b,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , ,b, , , , ,b,b, , , ,b,b, ,b,b,b,b,b,b,b,b,b,b,b,b,b,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , ,b, , , , , ,b,b,b,b,b,b,b,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,b,
 ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,
 ,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b, , , , , , , , , , , , , , , , , , ,
 ,b,b,b,b, , , , , , , , , , , , ,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 , , , ,b,b,b,b,b,b,b,b,b,b,b,b,b,b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
